"cod_noga4","cod_noga2","txt_noga4"
4647,464,"Grosshandel mit Möbeln, Teppichen, Lampen und Leuchten"
4648,464,"Grosshandel mit Uhren und Schmuck"
4649,464,"Grosshandel mit sonstigen Gebrauchs- und Verbrauchsgütern"
4651,465,"Grosshandel mit Datenverarbeitungsgeräten, peripheren Geräten und Software"
4652,465,"Grosshandel mit elektronischen Bauteilen und Telekommunikationsgeräten"
4661,466,"Grosshandel mit landwirtschaftlichen Maschinen, und Geräten"
4662,466,"Grosshandel mit Werkzeugmaschinen"
4663,466,"Grosshandel mit Bergwerks-, Bau- und Baustoffmaschinen"
4664,466,"Grosshandel mit Textil-, Näh- und Strickmaschinen"
4665,466,"Grosshandel mit Büromöbeln"
4666,466,"Grosshandel mit sonstigen Büromaschinen und -einrichtungen"
4669,466,"Grosshandel mit sonstigen Maschinen und Ausrüstungen"
4671,467,"Grosshandel mit festen Brennstoffen und Mineralölerzeugnissen"
4672,467,"Grosshandel mit Erzen, Metallen und Metallhalbzeug"
4673,467,"Grosshandel mit Holz, Baustoffen, Anstrichmitteln und Sanitärkeramik"
4674,467,"Grosshandel mit Metall- und Kunststoffwaren für Bauzwecke sowie Installationsbedarf für Gas, Wasser und Heizung"
4675,467,"Grosshandel mit chemischen Erzeugnissen"
4676,467,"Grosshandel mit sonstigen Halbwaren"
4677,467,"Grosshandel mit Altmaterialien und Reststoffen"
4690,469,"Grosshandel ohne ausgeprägten Schwerpunkt"
4711,471,"Detailhandel mit Waren verschiedener Art, Hauptrichtung Nahrungs- und Genussmittel, Getränke und Tabakwaren"
4719,471,"Sonstiger Detailhandel mit Waren verschiedener Art"
4721,472,"Detailhandel mit Obst, Gemüse und Kartoffeln"
4722,472,"Detailhandel mit Fleisch und Fleischwaren"
4723,472,"Detailhandel mit Fisch, Meeresfrüchten und Fischerzeugnissen"
4724,472,"Detailhandel mit Back- und Süsswaren"
4725,472,"Detailhandel mit Getränken"
4726,472,"Detailhandel mit Tabakwaren"
4729,472,"Sonstiger Detailhandel mit Nahrungs- und Genussmitteln"
4730,473,"Detailhandel mit Motorenkraftstoffen (Tankstellen)"
4741,474,"Detailhandel mit Datenverarbeitungsgeräten, peripheren Geräten und Software"
4742,474,"Detailhandel mit Telekommunikationsgeräten"
4743,474,"Detailhandel mit Geräten der Unterhaltungselektronik"
4751,475,"Detailhandel mit Textilien"
4752,475,"Detailhandel mit Metallwaren, Anstrichmitteln, Bau- und Heimwerkerbedarf"
4753,475,"Detailhandel mit Vorhängen, Teppichen, Fussbodenbelägen und Tapeten"
4754,475,"Detailhandel mit elektrischen Haushaltsgeräten"
4759,475,"Detailhandel mit Möbeln, Einrichtungsgegenständen und sonstigem Hausrat"
4761,476,"Detailhandel mit Büchern"
4762,476,"Detailhandel mit Zeitschriften, Zeitungen, Schreibwaren und Bürobedarf"
4763,476,"Detailhandel mit bespielten Ton- und Bildträgern"
4764,476,"Detailhandel mit Fahrrädern, Sport- und Campingartikeln"
4765,476,"Detailhandel mit Spielwaren"
4771,477,"Detailhandel mit Bekleidung"
4772,477,"Detailhandel mit Schuhen und Lederwaren"
4773,477,"Apotheken"
4774,477,"Detailhandel mit medizinischen und orthopädischen Artikeln"
4775,477,"Detailhandel mit kosmetischen Erzeugnissen und Körperpflegemitteln"
4776,477,"Detailhandel mit Blumen, Pflanzen, Sämereien, Düngemitteln, zoologischem Bedarf und lebenden Tieren"
4777,477,"Detailhandel mit Uhren und Schmuck"
4778,477,"Sonstiger Detailhandel in Verkaufsräumen (ohne Antiquitäten und Gebrauchtwaren)"
4779,477,"Detailhandel mit Antiquitäten und Gebrauchtwaren"
4781,478,"Detailhandel mit Nahrungs- und Genussmitteln, Getränken und Tabakwaren an Verkaufsständen und auf Märkten"
4782,478,"Detailhandel mit Textilien, Bekleidung und Schuhen an Verkaufsständen und auf Märkten"
4789,478,"Detailhandel mit sonstigen Gütern an Verkaufsständen und auf Märkten"
4791,479,"Versand- und Internet-Detailhandel"
4799,479,"Sonstiger Detailhandel, nicht in Verkaufsräumen, an Verkaufsständen oder auf Märkten"
4910,491,"Personenbeförderung im Eisenbahnfernverkehr"
4920,492,"Güterbeförderung im Eisenbahnverkehr"
4931,493,"Personenbeförderung im Nahverkehr zu Lande (ohne Taxis)"
4932,493,"Betrieb von Taxis"
4939,493,"Sonstige Personenbeförderung im Landverkehr a. n. g."
4941,494,"Güterbeförderung im Strassenverkehr"
4942,494,"Umzugstransporte"
4950,495,"Transport in Rohrfernleitungen"
5010,501,"Personenbeförderung in der See- und Küstenschifffahrt"
5020,502,"Güterbeförderung in der See- und Küstenschifffahrt"
5030,503,"Personenbeförderung in der Binnenschifffahrt"
